本期结算数量 半年             黑色、 彩色数量控制在下面范围内
         日期              总计    黑色    彩色
2021年6月1日                  83520  7892

本次计数数量
         日期              总计    黑色     本月剩余    彩色     本月剩余
2021年06月01日   70986   63138    20382         7848     45
2021年06月02日   71183   63335    4694         7848     263
2021年06月03日   71362   63504    4525         7858     253
2021年06月04日   71998   64127    3902         7871     240
2021年06月07日   72116   64228    3801         7888     223
2021年06月08日   72139   64244    3785         7895     216
2021年06月09日   72239   64339    3690         7900     211
2021年06月10日   72269   64367    3662         7902     209
2021年06月16日   72465   64543    3486         7922     189
2021年06月17日   72570   64557    3472         8013     98
2021年06月18日   72586   64573    3456         8013     98
2021年06月21日   72874   64824    3205         8050     61
2021年06月23日   73896   65822    2207         8074     37
2021年06月24日   73906   65830    2199         8076     35
2021年06月25日   73989   65913    2116         8076     35
2021年06月28日   74165   65983    2046         8182     -71
2021年06月29日   74219   66035    1994         8184     -73
2021年06月30日   74284   66096    1933         8188     -77
2021年07月01日   74361   66173    6856         8188     223
2021年07月02日   74485   66280    6749         8205     206
2021年07月05日   74640   66400    6629         8240     171
2021年07月06日   74749   66507    6522         8242     169
2021年07月07日   74812   66570    6459         8242     169
2021年07月08日   74835   66587    6442         8248     163
2021年07月09日   74895   66642    6387         8253     158
2021年07月12日   75046   66772    6257         8274     137
2021年07月13日   75239   66965    6064         8274     137
2021年07月14日   75267   66990    6039         8277     134
2021年07月15日   75452   67121    5908         8331     80
2021年07月16日   75478   67130    5899         8348     63
2021年07月22日   76211   67813    5216         8398     13
2021年07月23日   76218   67819    5210         8399     12
2021年07月26日   76348   67928    5101         8420     -9
2021年07月27日   76457   68029    5000         8428     -17
2021年07月28日   76482   68054    4975         8428     -17
2021年07月29日   76508   68073    4956         8435     -24
2021年07月30日   76649   68160    4869         8489     -78
2021年08月02日   76811   68271    9758         8540     171
2021年08月03日   76889   68346    9683         8543     168
2021年08月04日   76918   68374    9655         8544     167
2021年08月05日   77327   68768    9261         8559     152
2021年08月06日   77469   68889    9140         8580     131
2021年08月09日   77874   69169    8860         8705     6
2021年08月10日   78086   69364    8665         8722     -11
2021年08月11日   78158   69431    8598         8727     -16
2021年08月12日   78215   69473    8556         8742     -31
2021年08月13日   78385   69608    8421         8777     -66
2021年08月16日   78557   69643    8386         8914     -203
2021年08月17日   78900   69974    8055         8926     -215
2021年08月18日   78934   70006    8023         8928     -217
2021年08月19日   79051   70101    7928         8950     -239
2021年08月20日   79189   70186    7843         9003     -292
2021年08月23日   79251   70243    7786         9008     -297
2021年08月24日   79316   70306    7723         9010     -299
2021年08月25日   79360   70348    7681         9012     -301
2021年08月26日   79423   70398    7631         9025     -314
2021年08月26日   79423   70398    7631         9025     -314
2021年09月28日   81793   72408    10621         9385     -374
2021年09月29日   81814   72429    15600         9385     -74
2021年09月29日   81845   72456    10573         9389     -378
2021年09月29日   81848   72459    10570         9389     -378
2021年09月29日   81848   72459    10570         9389     -378
2021年09月30日   81884   72487    10542         9397     -386
